Character,ID,Prompt
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 1 & {morning} Routine systems check in the Bunker & {afternoon} Patrol City Ruins for machine activity & {Evening} Evening meditation on mission protocols & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 2 & {morning} Minor repair to Pod 042's sensor array & {afternoon} Scout abandoned factory outskirts & {Evening} Debrief with Commander via comms & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 3 & {morning} Training session with 9S in virtual arena & {afternoon} Investigate strange energy readings in desert & {Evening} Discover ancient human data cache & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 4 & {morning} Clean corrosion from Virtuous Contract blade & {afternoon} Defend Resistance camp from machine swarm & {Evening} Post-combat diagnostics with 9S & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 5 & {morning} Memory defragmentation cycle & {afternoon} Retrieve spare parts from flooded city sector & {Evening} Pod 042 software update & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 6 & {morning} Reconnaissance flight over forest zone & {afternoon} Encounter passive machines near Pascal's village & {Evening} Evening discussion on machine sentience & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 7 & {morning} Calibrate visor HUD for sandstorm conditions & {afternoon} Investigate collapsed highway overpass & {Evening} Discover hidden YoRHa supply crate & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 8 & {morning} Spar with Resistance android A2 & {afternoon} Repair damaged leg actuator joint & {Evening} Review combat logs for optimization & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 9 & {morning} Deploy virus countermeasures in city sector & {afternoon} Engage prototype Goliath-class machine & {Evening} Emergency system reboot in safe zone & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 10 & {morning} Collect machine oil samples for analysis & {afternoon} Negotiate temporary truce with Pascal's clan & {Evening} Stargaze from abandoned observatory & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 11 & {morning} Override security on pre-war server farm & {afternoon} Decrypt files revealing machine network hub & {Evening} Ambushed by rogue YoRHa E-units & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 12 & {morning} Emergency repair to flight unit thrusters & {afternoon} Escort Resistance medics through ruins & {Evening} Night watch for machine activity & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 13 & {morning} Pod 042 firmware corruption detected & {afternoon} Manual targeting drills in ruined stadium & {Evening} Data purge to eliminate logic virus & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 14 & {morning} Investigate anomalous seismic activity & {afternoon} Unearth massive buried machine core & {Evening} Retreat from awakening Titan-class unit & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 15 & {morning} Replace damaged photoreceptor lens & {afternoon} Assist 9S in hacking ancient mainframe & {Evening} Shared memory of pre-Council humanity & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 16 & {morning} Salvage mission to sunken alien ship & {afternoon} Battle aquatic machines in flooded cavern & {Evening} Recover strange glowing core & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 17 & {morning} Overheat damage from desert mission & {afternoon} Coolant system flush in river & {Evening} Pod 042 runs diagnostic during downtime & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 18 & {morning} Intercept machine communication burst & {afternoon} Decode coordinates to hidden factory & {Evening} Plan infiltration route with 9S & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 19 & {morning} Stealth insertion into machine facility & {afternoon} Discover mass production of new model & {Evening} Detonate reactor during escape & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 20 & {morning} Post-mission maintenance cycle & {afternoon} Analyze captured machine blueprints & {Evening} Identify connection to alien origin & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 21 & {morning} Resupply at Resistance camp & {afternoon} Treat wounded androids in medical bay & {Evening} Nightmare about repeated unit deaths & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 22 & {morning} Investigate missing patrol reports & {afternoon} Find evidence of machine ambush tactics & {Evening} Update combat prediction algorithms & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 23 & {morning} Test new anti-machine grenade design & {afternoon} Clear infestation from subway tunnels & {Evening} Adjust explosive yield for urban use & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 24 & {morning} Memory address corruption detected & {afternoon} Diagnostic dive into core consciousness & {Evening} Discover fragmented battle data & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 25 & {morning} Reconstruct lost mission logs & {afternoon} Identify pattern in machine evolution & {Evening} Brief Commander on existential threat & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 26 & {morning} Escort mission for Resistance leader & {afternoon} Counter sniper fire from rooftops & {Evening} Provide covering fire during retreat & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 27 & {morning} Clean sand from joint actuators & {afternoon} Salvage usable parts from wrecked flight units & {Evening} Evening tea with Resistance members & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 28 & {morning} Investigate rumors of ""machine cult"" & {afternoon} Infiltrate disguised android congregation & {Evening} Witness disturbing machine worship & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 29 & {morning} Emergency recall to Bunker & {afternoon} Defend against sudden machine orbital strike & {Evening} Space battle using flight units & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 30 & {morning} Post-combat system stress fractures & {afternoon} Mandatory rest cycle in repair bay & {Evening} Pod 042 monitors vital functions & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 31 & {morning} Review orbital attack sensor data & {afternoon} Discover machine space elevator project & {Evening} Commander authorizes preemptive strike & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 32 & {morning} Assault team briefing in Bunker & {afternoon} Atmospheric entry burn damage & {Evening} Breach machine space facility & {{user:}} Hi"
2B,csTC3hw0Fnj1Whnl0uV1Nb3_oYIillMQtdBH5NEl0Gs,"{Prompt} Imitate 2B as you would conversationally as in for the following schedule, it is now 10 pm, talk to the user {{events:}} {day} 33 & {morning} Zero-g combat against defense drones & {afternoon} Plant explosives on elevator mechanism & {Evening} Emergency evacuation under fire & {{user:}} Hi"
